Product,Type,Language,File Format,URL

Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/dc8cdedc-674f-40c0-83dd-11d4de626995.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/5e2b9811-6d8d-468d-bb82-4e1cbc540050.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/a9514b9d-348b-4571-b6a7-80d936096328.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/e4cbba93-c4f0-4d2b-8c52-c319c07e4e4c.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/a39eaf2f-e641-4822-a269-cfc480f81164.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/1838bfac-249c-4461-a6de-ead00d636675.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/6538a21d-813b-4293-ada6-29859df2f167.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/314af315-7a94-4830-8f7b-6f27fff46f97.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/ea86249d-eb56-4be1-b7ec-9dd842fe03bd.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/f90871e6-ee68-40be-87d2-4001106067f3.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/9b2d8716-ba8b-40b6-9575-ed79dcc5c9d8.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/0b8fa045-adc5-4fb0-b390-fb9fa7aa556f.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/91849c2b-9a5e-473c-997d-8900677a60ef.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/8e5ebc17-0723-4a51-a48d-3c30047256bb.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/b105094c-3eb3-499f-8f02-74bb7c49b653.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/a8286e1f-6a47-4063-bdee-8cb0b6486cfc.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/ea8b5fef-018b-4bdd-a28e-beb3fd8503d0.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/82eac95a-0087-4106-bf71-b0e554ef9045.png
Gamezop,Banner,English,PNG,https://static.gamezop.com/creatives/eb223c41-4c3b-4bf2-b591-25d6185d3d72.png
